ID,Location
'Hong_Kong_Sal10_19_contigs',Hong Kong SAR
'Hong_Kong_Sal100_19_contigs',Hong Kong SAR
'Hong_Kong_Sal11_19_contigs',Hong Kong SAR
'Hong_Kong_Sal13_19_contigs',Hong Kong SAR
'Hong_Kong_Sal14_19_contigs',Hong Kong SAR
'Hong_Kong_Sal18_19_contigs',Hong Kong SAR
'Hong_Kong_Sal19_19_contigs',Hong Kong SAR
'Hong_Kong_Sal20_19_contigs',Hong Kong SAR
'Hong_Kong_Sal25_19_contigs',Hong Kong SAR
'Hong_Kong_Sal26_19_contigs',Hong Kong SAR
'Hong_Kong_Sal27_19_contigs',Hong Kong SAR
'Hong_Kong_Sal32_19_contigs',Hong Kong SAR
'Hong_Kong_Sal35_19_contigs',Hong Kong SAR
'Hong_Kong_Sal36_19_contigs',Hong Kong SAR
'Hong_Kong_Sal50_19_contigs',Hong Kong SAR
'Hong_Kong_Sal52_19_contigs',Hong Kong SAR
'Hong_Kong_Sal53_19_contigs',Hong Kong SAR
'Hong_Kong_Sal56_19_contigs',Hong Kong SAR
'Hong_Kong_Sal58_19_contigs',Hong Kong SAR
'Hong_Kong_Sal6_19_contigs',Hong Kong SAR
'Hong_Kong_Sal61_19_contigs',Hong Kong SAR
'Hong_Kong_Sal63_19_contigs',Hong Kong SAR
'Hong_Kong_Sal64_19_contigs',Hong Kong SAR
'Hong_Kong_Sal65_19_contigs',Hong Kong SAR
'Hong_Kong_Sal66_19_contigs',Hong Kong SAR
'Hong_Kong_Sal67_19_contigs',Hong Kong SAR
'Hong_Kong_Sal68_19_contigs',Hong Kong SAR
'Hong_Kong_Sal69_19_contigs',Hong Kong SAR
'Hong_Kong_Sal70_19_contigs',Hong Kong SAR
'Hong_Kong_Sal72_19_contigs',Hong Kong SAR
'Hong_Kong_Sal73_19_contigs',Hong Kong SAR
'Hong_Kong_Sal75_19_contigs',Hong Kong SAR
'Hong_Kong_Sal76_19_contigs',Hong Kong SAR
'Hong_Kong_Sal77_19_contigs',Hong Kong SAR
'Hong_Kong_Sal78_19_contigs',Hong Kong SAR
'Hong_Kong_Sal82_19_contigs',Hong Kong SAR
'Hong_Kong_Sal83_19_contigs',Hong Kong SAR
'Hong_Kong_Sal85_19_contigs',Hong Kong SAR
'Hong_Kong_Sal86_19_contigs',Hong Kong SAR
'Hong_Kong_Sal88_19_contigs',Hong Kong SAR
'Hong_Kong_Sal91_19_contigs',Hong Kong SAR
'Hong_Kong_Sal93_19_contigs',Hong Kong SAR
'Hong_Kong_Sal94_19_contigs',Hong Kong SAR
'Hong_Kong_Sal98_19_contigs',Hong Kong SAR
'Hong_Kong_Sal99_19_contigs',Hong Kong SAR
'Mainland_China_GCA_023606685',China:Hanzhong
'Mainland_China_GCA_023606785',China:Hanzhong
'Mainland_China_GCA_023606825',China:Hanzhong
'Mainland_China_GCA_023606845',China:Hanzhong
'Mainland_China_GCA_023606965',China:Hanzhong
'Mainland_China_GCA_023607115',China:Hanzhong
'Mainland_China_GCA_023607125',China:Hanzhong
