GENE,VFcategory
csgA,Adherence
csgB,Adherence
csgC,Adherence
csgD,Adherence
csgE,Adherence
csgF,Adherence
csgG,Adherence
faeC,Adherence
faeD,Adherence
faeE,Adherence
faeF,Adherence
faeH,Adherence
faeI,Adherence
faeJ,Adherence
fimC,Adherence
fimD,Adherence
fimF,Adherence
fimH,Adherence
fimI,Adherence
lpfA,Adherence
lpfB,Adherence
lpfC,Adherence
lpfD,Adherence
lpfE,Adherence
misL,Adherence
pefA,Adherence
pefB,Adherence
pefC,Adherence
pefD,Adherence
ratB,Adherence
shdA,Adherence
sinH,Adherence
mig-14,Antimicrobial activity/Competitive advantage
avrA,Effector delivery system
gogB,Effector delivery system
invA,Effector delivery system
invB,Effector delivery system
invC,Effector delivery system
invE,Effector delivery system
invF,Effector delivery system
invG,Effector delivery system
invH,Effector delivery system
invI,Effector delivery system
invJ,Effector delivery system
orgA,Effector delivery system
orgB,Effector delivery system
orgC,Effector delivery system
pipB,Effector delivery system
pipB2,Effector delivery system
prgH,Effector delivery system
prgI,Effector delivery system
prgJ,Effector delivery system
prgK,Effector delivery system
sicA,Effector delivery system
sicP,Effector delivery system
sifA,Effector delivery system
sifB,Effector delivery system
sipA/sspA,Effector delivery system
sipB/sspB,Effector delivery system
sipC/sspC,Effector delivery system
sipD,Effector delivery system
slrP,Effector delivery system
sopA,Effector delivery system
sopB/sigD,Effector delivery system
sopD,Effector delivery system
sopD2,Effector delivery system
sopE2,Effector delivery system
spaO,Effector delivery system
spaP,Effector delivery system
spaQ,Effector delivery system
spaR,Effector delivery system
spaS,Effector delivery system
spiC/ssaB,Effector delivery system
sptP,Effector delivery system
ssaC,Effector delivery system
ssaD,Effector delivery system
ssaE,Effector delivery system
ssaG,Effector delivery system
ssaH,Effector delivery system
ssaI,Effector delivery system
ssaJ,Effector delivery system
ssaK,Effector delivery system
ssaL,Effector delivery system
ssaM,Effector delivery system
ssaN,Effector delivery system
ssaO,Effector delivery system
ssaP,Effector delivery system
ssaQ,Effector delivery system
ssaR,Effector delivery system
ssaS,Effector delivery system
ssaT,Effector delivery system
ssaU,Effector delivery system
ssaV,Effector delivery system
sscA,Effector delivery system
sscB,Effector delivery system
sseA,Effector delivery system
sseB,Effector delivery system
sseC,Effector delivery system
sseD,Effector delivery system
sseE,Effector delivery system
sseF,Effector delivery system
sseG,Effector delivery system
sseI/srfH,Effector delivery system
sseJ,Effector delivery system
sseK1,Effector delivery system
sseL,Effector delivery system
sspH2,Effector delivery system
steA,Effector delivery system
steB,Effector delivery system
steC,Effector delivery system
spvB,Exotoxin
spvC,Exotoxin
spvR,Exotoxin
rck,Immune modulation
ompA,Invasion
entA,Nutritional/Metabolic factor
entB,Nutritional/Metabolic factor
fepC,Nutritional/Metabolic factor
fepG,Nutritional/Metabolic factor
mgtB,Nutritional/Metabolic factor
mgtC,Nutritional/Metabolic factor
sodCI,Stress survival
