ID	Collection_date
Hong_Kong_Sal10_19_contigs	2019
Hong_Kong_Sal100_19_contigs	2019
Hong_Kong_Sal11_19_contigs	2019
Hong_Kong_Sal13_19_contigs	2019
Hong_Kong_Sal14_19_contigs	2019
Hong_Kong_Sal18_19_contigs	2019
Hong_Kong_Sal19_19_contigs	2019
Hong_Kong_Sal20_19_contigs	2019
Hong_Kong_Sal25_19_contigs	2019
Hong_Kong_Sal26_19_contigs	2019
Hong_Kong_Sal27_19_contigs	2019
Hong_Kong_Sal32_19_contigs	2019
Hong_Kong_Sal35_19_contigs	2019
Hong_Kong_Sal36_19_contigs	2019
Hong_Kong_Sal50_19_contigs	2019
Hong_Kong_Sal52_19_contigs	2019
Hong_Kong_Sal53_19_contigs	2019
Hong_Kong_Sal56_19_contigs	2019
Hong_Kong_Sal58_19_contigs	2019
Hong_Kong_Sal6_19_contigs	2019
Hong_Kong_Sal61_19_contigs	2019
Hong_Kong_Sal63_19_contigs	2019
Hong_Kong_Sal64_19_contigs	2019
Hong_Kong_Sal65_19_contigs	2019
Hong_Kong_Sal66_19_contigs	2019
Hong_Kong_Sal67_19_contigs	2019
Hong_Kong_Sal68_19_contigs	2019
Hong_Kong_Sal69_19_contigs	2019
Hong_Kong_Sal70_19_contigs	2019
Hong_Kong_Sal72_19_contigs	2019
Hong_Kong_Sal73_19_contigs	2019
Hong_Kong_Sal75_19_contigs	2019
Hong_Kong_Sal76_19_contigs	2019
Hong_Kong_Sal77_19_contigs	2019
Hong_Kong_Sal78_19_contigs	2019
Hong_Kong_Sal82_19_contigs	2019
Hong_Kong_Sal83_19_contigs	2019
Hong_Kong_Sal85_19_contigs	2019
Hong_Kong_Sal86_19_contigs	2019
Hong_Kong_Sal88_19_contigs	2019
Hong_Kong_Sal91_19_contigs	2019
Hong_Kong_Sal93_19_contigs	2019
Hong_Kong_Sal94_19_contigs	2019
Hong_Kong_Sal98_19_contigs	2019
Hong_Kong_Sal99_19_contigs	2019
Mainland_China_GCA_023606685	2018
Mainland_China_GCA_023606785	2018
Mainland_China_GCA_023606825	2018
Mainland_China_GCA_023606845	2018
Mainland_China_GCA_023606965	2018
Mainland_China_GCA_023607115	2018
Mainland_China_GCA_023607125	2018
Mainland_China_GCA_023607405	2019
Mainland_China_GCA_023607435	2019
Mainland_China_GCA_023607465	2019
Mainland_China_GCA_023607505	2019
Mainland_China_GCA_023607525	2019
Mainland_China_GCA_023607565	2019
Mainland_China_GCA_023607605	2019
Mainland_China_GCA_023607645	2019
Mainland_China_GCA_023607785	2020
Mainland_China_GCA_023607925	2020
Mainland_China_GCA_023608005	2020
Mainland_China_GCA_023608025	2020
Mainland_China_GCA_023608035	2020
Mainland_China_GCA_023608125	2020
Mainland_China_GCA_023608205	2020
Taiwan_GCA_010253615	2018
Taiwan_GCA_010254655	2018
Taiwan_GCA_010254835	2018
Taiwan_GCA_010255195	2018
Taiwan_GCA_010255295	2018
United_Kingdom_GCA_015123095	2019
United_Kingdom_GCA_015123275	2019
United_Kingdom_GCA_015127605	2019
United_Kingdom_GCA_015127645	2019
United_Kingdom_GCA_015127805	2019
United_Kingdom_GCA_015128595	2019
United_Kingdom_GCA_015128665	2019
United_Kingdom_GCA_015129935	2019
United_Kingdom_GCA_015130975	2019
United_Kingdom_GCA_015131295	2019
United_Kingdom_GCA_015131315	2019
United_Kingdom_GCA_015131435	2019
United_Kingdom_GCA_015131575	2019
United_Kingdom_GCA_015131615	2019
United_Kingdom_GCA_015131675	2019
United_Kingdom_GCA_015131735	2019
United_Kingdom_GCA_015131835	2019
United_Kingdom_GCA_015131995	2019
United_Kingdom_GCA_015132775	2019
United_Kingdom_GCA_015133115	2019
United_Kingdom_GCA_015133555	2019
United_Kingdom_GCA_015170025	2019
United_Kingdom_GCA_015170195	2019
United_Kingdom_GCA_017235175	2019
United_Kingdom_GCA_019475725	2019
United_Kingdom_GCA_019476025	2019
United_Kingdom_GCA_019476805	2019
United_Kingdom_GCA_019477265	2019
United_Kingdom_GCA_019525025	2019
United_Kingdom_GCA_019543535	2019
Canada_GCA_019582215	2019
Canada_GCA_019582255	2019
Canada_GCA_019582275	2019
Canada_GCA_019582375	2019
Canada_GCA_019582555	2019
Canada_GCA_019582565	2019
Canada_GCA_019582595	2019
Canada_GCA_019582655	2019
Canada_GCA_019582695	2019
Canada_GCA_019582735	2019
Canada_GCA_019582815	2019
Canada_GCA_019583915	2019
Canada_GCA_019584035	2019
Canada_GCA_019584055	2019
Canada_GCA_019584075	2019
Canada_GCA_019584265	2019
Canada_GCA_019584315	2019
Canada_GCA_019586325	2019
Canada_GCA_019588685	2019
Canada_GCA_019588725	2019
Canada_GCA_019588745	2019
Canada_GCA_019588765	2019
Canada_GCA_019588825	2019
Canada_GCA_019588865	2019
Canada_GCA_019588985	2019
Canada_GCA_019589065	2019
Canada_GCA_019589105	2019
Canada_GCA_019589125	2019
Canada_GCA_019589245	2019
Canada_GCA_019593325	2019
United_States_GCA_008396455	2019
United_States_GCA_008396595	2019
United_States_GCA_008842065	2019
United_States_GCA_008888505	2019
United_States_GCA_008888745	2019
United_States_GCA_008888765	2019
United_States_GCA_010434915	2019
United_States_GCA_010435855	2019
United_States_GCA_010486415	2019
United_States_GCA_010512695	2019
United_States_GCA_010810535	2019
United_States_GCA_010818555	2019
United_States_GCA_010840035	2019
United_States_GCA_011207155	2019
United_States_GCA_016230385	2019
United_States_GCA_016230445	2019
United_States_GCA_016230465	2019
United_States_GCA_016230505	2019
United_States_GCA_016230665	2019
United_States_GCA_016230705	2019
Australia_GCA_010422805	2019
Australia_GCA_010730655	2019
Australia_GCA_013218415	2018
Australia_GCA_013218545	2018
Australia_GCA_013218615	2018
Australia_GCA_013218635	2018
Australia_GCA_013218745	2018
Australia_GCA_013218805	2018
Australia_GCA_013218845	2018
Australia_GCA_013218875	2018
Australia_GCA_013218905	2018
Australia_GCA_013218965	2018
Australia_GCA_013218975	2018
Australia_GCA_013219015	2018
Australia_GCA_013219655	2018
Australia_GCA_013220405	2018
Australia_GCA_013220415	2018
Australia_GCA_013220585	2018
Australia_GCA_013220665	2018
Australia_GCA_013220685	2018
Australia_GCA_013220705	2018
Australia_GCA_013220775	2018
Australia_GCA_013220815	2018
Australia_GCA_013220865	2018
Australia_GCA_013220885	2018
Australia_GCA_013220895	2018
Australia_GCA_013221005	2018
Australia_GCA_013226665	2018
Australia_GCA_025770365	2018
Australia_GCA_013220695	2018
South_Africa_GCA_015857065	2018
South_Africa_GCA_015857345	2018
South_Africa_GCA_015857565	2018
South_Africa_GCA_015857805	2018
South_Africa_GCA_015857815	2018
South_Africa_GCA_015857885	2018
South_Africa_GCA_015857965	2018
South_Africa_GCA_015858025	2018
South_Africa_GCA_015858085	2018
South_Africa_GCA_015858125	2018
South_Africa_GCA_015858145	2018
South_Africa_GCA_015858165	2018
South_Africa_GCA_015858325	2018
South_Africa_GCA_015858345	2018
South_Africa_GCA_015858425	2018
South_Africa_GCA_015858465	2018
South_Africa_GCA_015858525	2018
South_Africa_GCA_015858565	2018
South_Africa_GCA_015858585	2018
South_Africa_GCA_015858665	2018
South_Africa_GCA_015858675	2018
South_Africa_GCA_015858765	2018
South_Africa_GCA_015858845	2018
South_Africa_GCA_015859065	2018
South_Africa_GCA_015860085	2018
