source,target,value
China,food_products,1
Japan,food_products,1
USA,food_products,1
France,food_products,1
Singapore,food_products,1
UK,food_products,1
South_Korea,food_products,1
Indonesia,food_products,1
Australia,food_products,1
Thailand,food_products,1
China,animal,1
Brazil,animal,1
USA,animal,1
Netherlands,animal,1
Australia,animal,1
New_Zealand,animal,1
Japan,animal,1
Canada,animal,1
Vietnam,animal,1
Indonesia,animal,1
China,vegetables,1
Chile,vegetables,1
USA,vegetables,1
Thailand,vegetables,1
Australia,vegetables,1
South_Africa,vegetables,1
Japan,vegetables,1
Vietnam,vegetables,1
Canada,vegetables,1
Peru,vegetables,1
China,food,1
USA,food,1
Brazil,food,1
Japan,food,1
Chile,food,1
Thailand,food,1
Australia,food,1
Netherlands,food,1
France,food,1
New_Zealand,food,1
food_products,Hong_Kong,10
animal,Hong_Kong,10
vegetables,Hong_Kong,10
food,Hong_Kong,10
