ID,Location,Collection_date
Hong_Kong_Sal10_19_contigs,Hong Kong SAR,2019-05
Hong_Kong_Sal100_19_contigs,Hong Kong SAR,2019-08
Hong_Kong_Sal11_19_contigs,Hong Kong SAR,2019-05
Hong_Kong_Sal13_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal14_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal18_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal19_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal20_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal25_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal26_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal27_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal32_19_contigs,Hong Kong SAR,2019-08
Hong_Kong_Sal35_19_contigs,Hong Kong SAR,2019-08
Hong_Kong_Sal36_19_contigs,Hong Kong SAR,2019-08
Hong_Kong_Sal50_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal52_19_contigs,Hong Kong SAR,2019-05
Hong_Kong_Sal53_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal56_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal58_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal6_19_contigs,Hong Kong SAR,2019-05
Hong_Kong_Sal61_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal63_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal64_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal65_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal66_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal67_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal68_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal69_19_contigs,Hong Kong SAR,2019-06
Hong_Kong_Sal70_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal72_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal73_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal75_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal76_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal77_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal78_19_contigs,Hong Kong SAR,2019-07
Hong_Kong_Sal82_19_contigs,Hong Kong SAR,2019-08
Hong_Kong_Sal83_19_contigs,Hong Kong SAR,2019-09
Hong_Kong_Sal85_19_contigs,Hong Kong SAR,2019-09
Hong_Kong_Sal86_19_contigs,Hong Kong SAR,2019-09
Hong_Kong_Sal88_19_contigs,Hong Kong SAR,2019-09
Hong_Kong_Sal91_19_contigs,Hong Kong SAR,2019-10
Hong_Kong_Sal93_19_contigs,Hong Kong SAR,2019-10
Hong_Kong_Sal94_19_contigs,Hong Kong SAR,2019-10
Hong_Kong_Sal98_19_contigs,Hong Kong SAR,2019-10
Hong_Kong_Sal99_19_contigs,Hong Kong SAR,2019-10
Mainland_China_GCA_023606685,China:Hanzhong,2018-10
Mainland_China_GCA_023606785,China:Hanzhong,2018-06
Mainland_China_GCA_023606825,China:Hanzhong,2018-04
Mainland_China_GCA_023606845,China:Hanzhong,2018-04
Mainland_China_GCA_023606965,China:Hanzhong,2018-05
Mainland_China_GCA_023607115,China:Hanzhong,2018-07
Mainland_China_GCA_023607125,China:Hanzhong,2018-08
Mainland_China_GCA_023607405,China:Hanzhong,2019-08
Mainland_China_GCA_023607435,China:Hanzhong,2019-08
Mainland_China_GCA_023607465,China:Hanzhong,2019-04
Mainland_China_GCA_023607505,China:Hanzhong,2019-07
Mainland_China_GCA_023607525,China:Hanzhong,2019-06
Mainland_China_GCA_023607565,China:Hanzhong,2019-08
Mainland_China_GCA_023607605,China:Hanzhong,2019-07
Mainland_China_GCA_023607645,China:Hanzhong,2019-07
Mainland_China_GCA_023607785,China:Hanzhong,2020-05
Mainland_China_GCA_023607925,China:Hanzhong,2020-07
Mainland_China_GCA_023608005,China:Hanzhong,2020-06
Mainland_China_GCA_023608025,China:Hanzhong,2020-05
Mainland_China_GCA_023608035,China:Hanzhong,2020-05
Mainland_China_GCA_023608125,China:Hanzhong,2020-05
Mainland_China_GCA_023608205,China:Hanzhong,2020-07
United_Kingdom_GCA_015123095,United Kingdom,2019-04
United_Kingdom_GCA_015123275,United Kingdom,2019-04
