Order,Var2,Location,Colour
207,United_States_GCA_010818555,USA,#F781BF
206,United_Kingdom_GCA_019477265,UK,#A65628
205,United_States_GCA_011207155,USA,#F781BF
204,United_States_GCA_016230705,USA,#F781BF
203,Australia_GCA_013220695,Australia,#4DAF4A
202,United_States_GCA_016230505,USA,#F781BF
201,United_States_GCA_010810535,USA,#F781BF
200,United_States_GCA_008888745,USA,#F781BF
199,United_States_GCA_010434915,USA,#F781BF
198,Canada_GCA_019582275,Canada,#377EB8
197,Australia_GCA_013220895,Australia,#4DAF4A
196,South_Africa_GCA_015858425,South Africa,#66C2A5
195,United_Kingdom_GCA_019543535,UK,#A65628
194,United_Kingdom_GCA_019475725,UK,#A65628
193,South_Africa_GCA_015858465,South Africa,#66C2A5
192,South_Africa_GCA 015860085,South Africa,#66C2A5
191,United_Kingdom_GCA_015128595,UK,#A65628
190,Australia_GCA_013221005,Australia,#4DAF4A
189,South_Africa_GCA_015858325,South Africa,#66C2A5
188,Australia_GCA_013220775,Australia,#4DAF4A
187,Mainland_China_GCA_023607525,China,#E41A1C
186,United_Kingdom_GCA_015131675,UK,#A65628
185,Hong_Kong_Sal86_19_contigs,Hong Hong,#984EA3
184,South_Africa_GCA_015857345,South Africa,#66C2A5
183,United_States_GCA_016230385,USA,#F781BF
182,United_Kingdom_GCA_015130975,UK,#A65628
181,South_Africa_GCA_015857065,South Africa,#66C2A5
180,United_States_GCA_016230445,USA,#F781BF
179,Australia_GCA_013220585,Australia,#4DAF4A
178,United_States_GCA_016230465,USA,#F781BF
177,Australia_ GCA 013218875,Australia,#4DAF4A
176,Hong_Kong_Sal 19_19_contigs,Hong Hong,#984EA3
175,Australia_GCA_013218905,Australia,#4DAF4A
174,United_States_GCA_010840035,USA,#F781BF
173,Australia GCA 013220685,Australia,#4DAF4A
172,United_States_GCA_010486415,USA,#F781BF
171,Australia_GCA_013218975,Australia,#4DAF4A
170,Australia_GCA_013220405,Australia,#4DAF4A
169,South_Africa GCA 015858085,South Africa,#66C2A5
168,South_Africa_GCA_015858125,South Africa,#66C2A5
167,South_Africa_GCA_015858845,South Africa,#66C2A5
166,Australia_GCA_013220415,Australia,#4DAF4A
165,United_Kingdom_GCA_015131735,UK,#A65628
164,United_States_GCA_008888765,USA,#F781BF
163,South Africa GCA 015859065,South Africa,#66C2A5
162,United_States_GCA_008888505,USA,#F781BF
161,South_Africa_GCA_015858675,South Africa,#66C2A5
160,United_States_GCA_008396455,USA,#F781BF
159,United_States_GCA_008396595,USA,#F781BF
158,Canada_GCA_019582735,Canada,#377EB8
157,South_Africa_GCA_015857565,South Africa,#66C2A5
156,South_Africa_GCA_015858565,South Africa,#66C2A5
155,South_Africa_GCA_015858765,South Africa,#66C2A5
154,Australia_GCA_013218745,Australia,#4DAF4A
153,Australia_GCA_013218965,Australia,#4DAF4A
152,Canada_GCA_019582215,Canada,#377EB8
151,Hong_Kong_Sal83_19_contigs,Hong Hong,#984EA3
150,Mainland_China_GCA_023607405,China,#E41A1C
149,Canada_GCA_019582695,Canada,#377EB8
148,Canada_GCA_019582255,Canada,#377EB8
147,Canada_GCA_019589105,Canada,#377EB8
146,Australia_GCA_013218635,Australia,#4DAF4A
145,Australia_GCA_013218845,Australia,#4DAF4A
144,Australia_GCA_013218805,Australia,#4DAF4A
143,Canada_GCA_019582375,Canada,#377EB8
142,Canada_GCA_019584265,Canada,#377EB8
141,Canada_GCA_019582655,Canada,#377EB8
140,Canada_GCA_019588765,Canada,#377EB8
139,South_Africa_CCA_015858345,South Africa,#66C2A5
138,United_Kingdom_GCA_015127605,UK,#A65628
137,South Africa_GCA_015858025,South Africa,#66C2A5
136,Canada_GCA_019584035,Canada,#377EB8
135,South_Africa_GCA_015857815,South Africa,#66C2A5
134,Australia_GCA_013218415,Australia,#4DAF4A
133,Canada_GCA_019588865,Canada,#377EB8
132,South_Africa_GCA_015857805,South Africa,#66C2A5
131,Canada_GCA_019582555,Canada,#377EB8
130,Hong_Kong_Sal77_19_contigs,Hong Hong,#984EA3
129,Mainland_China_GCA_023606825,China,#E41A1C
128,United_States_GCA_010435855,USA,#F781BF
127,Australia_GCA_013220665,Australia,#4DAF4A
126,Hong_Kong_Sal27_19_contigs,Hong Hong,#984EA3
125,Hong_Kong_Sal68_19_contigs,Hong Hong,#984EA3
124,Canada_GCA_019584075,Canada,#377EB8
123,Hong_Kong_Sal94_19_contigs,Hong Hong,#984EA3
122,Australia_GCA_013219655,Australia,#4DAF4A
121,Australia_GCA_013220705,Australia,#4DAF4A
120,Hong_Kong_Sal73_19_contigs,Hong Hong,#984EA3
119,Mainland_China_GCA_023607125,China,#E41A1C
118,Canada_GCA_019588745,Canada,#377EB8
117,Hong_Kong_Sal52_19_contigs,Hong Hong,#984EA3
116,Hong_Kong_Sal20_19_contigs,Hong Hong,#984EA3
115,Hong_Kong_Sal53_19_contigs,Hong Hong,#984EA3
114,Hong_Kong_Sal64_19_contigs,Hong Hong,#984EA3
113,Hong_Kong_Sal91_19_contigs,Hong Hong,#984EA3
112,Mainland_China_GCA_023607565,China,#E41A1C
111,United_Kingdom_GCA_015131835,UK,#A65628
110,United_Kingdom_GCA_015170025,UK,#A65628
109,Canada_GCA_019589065,Canada,#377EB8
108,Hong_Kong_Sal50_19_contigs,Hong Hong,#984EA3
107,Mainland_China_GCA_023608125,China,#E41A1C
106,United_Kingdom_GCA_015131435,UK,#A65628
105,Australia_GCA_025770365,Australia,#4DAF4A
104,Hong_Kong_Sal10_19_contigs,Hong Hong,#984EA3
103,Mainland_China_GCA_023606845,China,#E41A1C
102,Mainland_China_GCA_023607435,China,#E41A1C
101,United_Kingdom_GCA_015170195,UK,#A65628
100,Canada_GCA_019582565,Canada,#377EB8
99,Hong_Kong_Sal63_19_contigs,Hong Hong,#984EA3
98,Mainland_China_GCA_023606965,China,#E41A1C
97,South_Africa_GCA_015858165,South Africa,#66C2A5
96,Hong_Kong_Sal26_19_contigs,Hong Hong,#984EA3
95,Hong_Kong_Sal70_19_contigs,Hong Hong,#984EA3
94,Mainland_China_GCA_023607645,China,#E41A1C
93,South_Africa_GCA_015858585,South Africa,#66C2A5
92,Hong_Kong_Sal67_19_contigs,Hong Hong,#984EA3
91,South_Africa_GCA_015858525,South Africa,#66C2A5
90,Mainland_China_GCA_023607605,China,#E41A1C
89,Mainland_China_GCA_023608005,China,#E41A1C
88,Canada_GCA_019582595,Canada,#377EB8
87,Hong_Kong_Sal58_19_contigs,Hong Hong,#984EA3
86,Mainland_China_GCA_023607505,China,#E41A1C
85,Hong_Kong_Sal82_19_contigs,Hong Hong,#984EA3
84,Taiwan_GCA_010253615,Taiwan,#FC8D62
83,United_Kingdom_GCA_015127645,UK,#A65628
82,United_Kingdom_GCA_015133115,UK,#A65628
81,South_Africa_GCA_015857965,South Africa,#66C2A5
80,Taiwan_GCA_010255195,Taiwan,#FC8D62
79,Taiwan_GCA_010254655,Taiwan,#FC8D62
78,Taiwan_GCA 010255295,Taiwan,#FC8D62
77,Canada_GCA_019589125,Canada,#377EB8
76,Mainland_China_GCA_023607925,China,#E41A1C
75,Mainland_China_GCA_023608205,China,#E41A1C
74,Australia_GCA_013220865,Australia,#4DAF4A
73,South_Africa_GCA015858145,South Africa,#66C2A5
72,Australia_GCA_013219015,Australia,#4DAF4A
71,South_Africa_GCA_015857885,South Africa,#66C2A5
70,Hong_Kong_Sal61_19_contigs,Hong Hong,#984EA3
69,Australia_GCA_013220815,Australia,#4DAF4A
68,Canada_GCA_019588685,Canada,#377EB8
67,United_States_GCA_010512695,USA,#F781BF
66,Australia_GCA_013226665,Australia,#4DAF4A
65,Canada_GCA_019588985,Canada,#377EB8
64,Canada_GCA_019582815,Canada,#377EB8
63,Australia_GCA_013220885,Australia,#4DAF4A
62,Mainland_China_GCA_023607115,China,#E41A1C
61,Canada_GCA_019588825,Canada,#377EB8
60,United_States_GCA_016230665,USA,#F781BF
59,Canada_GCA_019584055,Canada,#377EB8
58,South_Africa_GCA_015858665,South Africa,#66C2A5
57,United_Kingdom_GCA_015131575,UK,#A65628
56,Canada_GCA_019583915,Canada,#377EB8
55,Mainland_China_GCA_023608035,China,#E41A1C
54,Hong_Kong_Sal99_19_contigs,Hong Hong,#984EA3
53,Hong_Kong_Sal93_19_contigs,Hong Hong,#984EA3
52,Canada_GCA_019584315,Canada,#377EB8
51,Hong_Kong_Sal35_19_contigs,Hong Hong,#984EA3
50,Hong_Kong_Sal98_contigs,Hong Hong,#984EA3
49,Mainland_China_GCA_023606785,China,#E41A1C
48,Hong_Kong_Sal100_19_contigs,Hong Hong,#984EA3
47,Hong_Kong_Sal56_19_contigs,Hong Hong,#984EA3
46,Hong_Kong_Sal32_19_contigs,Hong Hong,#984EA3
45,Mainland_China_GCA_023606685,China,#E41A1C
44,Hong_Kong_Sal18_19_contigs,Hong Hong,#984EA3
43,Hong_Kong_Sal66_19_contigs,Hong Hong,#984EA3
42,Hong_Kong_Sal76_19_contigs,Hong Hong,#984EA3
41,Hong_Kong_Sal85_19_contigs,Hong Hong,#984EA3
40,Hong_Kong_Sal13_19_contigs,Hong Hong,#984EA3
39,United_States_GCA_008842065,USA,#F781BF
38,Canada_GCA_019586325,Canada,#377EB8
37,Canada_GCA_019593325,Canada,#377EB8
36,United_Kingdom_GCA_015123275,UK,#A65628
35,Hong_Kong_Sal78_19_contigs,Hong Hong,#984EA3
34,United_Kingdom_GCA_015127805,UK,#A65628
33,United_Kingdom_GCA_015129935,UK,#A65628
32,United_Kingdom_GCA_015133555,UK,#A65628
31,Hong_Kong_Sal88_19_contigs,Hong Hong,#984EA3
30,Mainland_ China_GCA_023607465,China,#E41A1C
29,Mainland China GCA 023607785,China,#E41A1C
28,Hong_Kong_Sal75_19_contigs,Hong Hong,#984EA3
27,Australia_GCA_013218615,Australia,#4DAF4A
26,Hong_Kong_Sal69_19_contigs,Hong Hong,#984EA3
25,Mainland_China_GCA_023608025,China,#E41A1C
24,United_Kingdom_GCA_015131615,UK,#A65628
