ID,VF_GENE
Australia_GCA_010422805,entA
Australia_GCA_010422805,entB
Australia_GCA_010422805,fepG
Australia_GCA_010422805,fimF
Australia_GCA_010422805,fimH
Australia_GCA_010422805,fimD
Australia_GCA_010422805,fimC
Australia_GCA_010422805,fimI
Australia_GCA_010422805,spiC/ssaB
Australia_GCA_010422805,ssaC
Australia_GCA_010422805,ssaD
Australia_GCA_010422805,ssaE
Australia_GCA_010422805,sseA
Australia_GCA_010422805,sseB
Australia_GCA_010422805,sscA
Australia_GCA_010422805,sseC
Australia_GCA_010422805,sseD
Australia_GCA_010422805,sseE
Australia_GCA_010422805,sscB
Australia_GCA_010422805,sseF
Australia_GCA_010422805,sseG
Australia_GCA_010422805,ssaG
Australia_GCA_010422805,ssaH
Australia_GCA_010422805,ssaI
Australia_GCA_010422805,ssaJ
Australia_GCA_010422805,ssaK
Australia_GCA_010422805,ssaL
Australia_GCA_010422805,ssaM
Australia_GCA_010422805,ssaV
Australia_GCA_010422805,ssaN
Australia_GCA_010422805,ssaO
Australia_GCA_010422805,ssaP
Australia_GCA_010422805,ssaQ
Australia_GCA_010422805,ssaR
Australia_GCA_010422805,ssaS
Australia_GCA_010422805,ssaT
Australia_GCA_010422805,ssaU
Australia_GCA_010422805,steA
Australia_GCA_010422805,sifB
Australia_GCA_010422805,steB
Australia_GCA_010422805,sseJ
Australia_GCA_010422805,steC
Australia_GCA_010422805,sopB/sigD
Australia_GCA_010422805,pipB
Australia_GCA_010422805,ompA
Australia_GCA_010422805,sseI/srfH
Australia_GCA_010422805,sopD2
Australia_GCA_010422805,slrP
Australia_GCA_010422805,sinH
Australia_GCA_010422805,ratB
Australia_GCA_010422805,sseL
Australia_GCA_010422805,mgtC
Australia_GCA_010422805,mgtB
Australia_GCA_010422805,misL
Australia_GCA_010422805,lpfA
Australia_GCA_010422805,lpfB
Australia_GCA_010422805,lpfC
Australia_GCA_010422805,lpfD
Australia_GCA_010422805,lpfE
Australia_GCA_010422805,sifA
Australia_GCA_010422805,csgC
Australia_GCA_010422805,csgA
Australia_GCA_010422805,csgB
Australia_GCA_010422805,csgD
Australia_GCA_010422805,csgE
Australia_GCA_010422805,csgF
Australia_GCA_010422805,csgG
Australia_GCA_010422805,pipB2
Australia_GCA_010422805,mig-14
Australia_GCA_010422805,avrA
Australia_GCA_010422805,orgC
Australia_GCA_010422805,orgB
Australia_GCA_010422805,orgA
Australia_GCA_010422805,prgK
Australia_GCA_010422805,prgJ
Australia_GCA_010422805,prgI
Australia_GCA_010422805,prgH
Australia_GCA_010422805,sptP
Australia_GCA_010422805,sicP
Australia_GCA_010422805,sipA/sspA
Australia_GCA_010422805,sipD
Australia_GCA_010422805,sipC/sspC
Australia_GCA_010422805,sipB/sspB
Australia_GCA_010422805,sicA
Australia_GCA_010422805,spaS
Australia_GCA_010422805,spaR
Australia_GCA_010422805,spaQ
Australia_GCA_010422805,spaP
Australia_GCA_010422805,spaO
Australia_GCA_010422805,invJ
Australia_GCA_010422805,invI
Australia_GCA_010422805,invC
Australia_GCA_010422805,invB
Australia_GCA_010422805,invA
Australia_GCA_010422805,invE
Australia_GCA_010422805,invG
Australia_GCA_010422805,invF
Australia_GCA_010422805,invH
Australia_GCA_010422805,sopD
Australia_GCA_010422805,sspH2
Australia_GCA_010422805,sopE2
Australia_GCA_010422805,sodCI
Australia_GCA_010422805,sopA
Australia_GCA_010422805,spvR
Australia_GCA_010422805,spvB
Australia_GCA_010422805,spvC
Australia_GCA_010422805,pefB
Australia_GCA_010422805,pefA
Australia_GCA_010422805,pefC
Australia_GCA_010422805,pefD
Australia_GCA_010422805,rck
Australia_GCA_010422805,sseK1
Australia_GCA_010730655,spiC/ssaB
Australia_GCA_010730655,ssaC
Australia_GCA_010730655,ssaD
Australia_GCA_010730655,ssaE
Australia_GCA_010730655,sseA
Australia_GCA_010730655,sseB
Australia_GCA_010730655,sscA
Australia_GCA_010730655,sseC
Australia_GCA_010730655,sseD
Australia_GCA_010730655,sseE
Australia_GCA_010730655,sscB
Australia_GCA_010730655,sseF
Australia_GCA_010730655,sseG
Australia_GCA_010730655,ssaG
Australia_GCA_010730655,ssaH
Australia_GCA_010730655,ssaI
Australia_GCA_010730655,ssaJ
Australia_GCA_010730655,ssaK
Australia_GCA_010730655,ssaL
Australia_GCA_010730655,ssaM
Australia_GCA_010730655,ssaV
Australia_GCA_010730655,ssaN
Australia_GCA_010730655,ssaO
Australia_GCA_010730655,ssaP
Australia_GCA_010730655,ssaQ
Australia_GCA_010730655,ssaR
Australia_GCA_010730655,ssaS
Australia_GCA_010730655,ssaT
Australia_GCA_010730655,ssaU
Australia_GCA_010730655,steA
Australia_GCA_010730655,sifB
Australia_GCA_010730655,steB
Australia_GCA_010730655,sseJ
Australia_GCA_010730655,steC
Australia_GCA_010730655,sopE2
Australia_GCA_010730655,sodCI
Australia_GCA_010730655,entA
Australia_GCA_010730655,entB
Australia_GCA_010730655,fepG
Australia_GCA_010730655,fimF
Australia_GCA_010730655,fimH
Australia_GCA_010730655,fimD
Australia_GCA_010730655,fimC
Australia_GCA_010730655,fimI
Australia_GCA_010730655,sopB/sigD
Australia_GCA_010730655,pipB
Australia_GCA_010730655,ompA
Australia_GCA_010730655,sseI/srfH
Australia_GCA_010730655,sopD2
Australia_GCA_010730655,slrP
Australia_GCA_010730655,sinH
Australia_GCA_010730655,ratB
Australia_GCA_010730655,sseL
Australia_GCA_010730655,sifA
Australia_GCA_010730655,csgC
Australia_GCA_010730655,csgA
Australia_GCA_010730655,csgB
Australia_GCA_010730655,csgD
Australia_GCA_010730655,csgE
Australia_GCA_010730655,csgF
Australia_GCA_010730655,csgG
Australia_GCA_010730655,sopA
Australia_GCA_010730655,sspH2
Australia_GCA_010730655,pipB2
Australia_GCA_010730655,mig-14
Australia_GCA_010730655,avrA
Australia_GCA_010730655,orgC
Australia_GCA_010730655,orgB
Australia_GCA_010730655,orgA
Australia_GCA_010730655,prgK
Australia_GCA_010730655,prgJ
Australia_GCA_010730655,prgI
Australia_GCA_010730655,prgH
Australia_GCA_010730655,sptP
Australia_GCA_010730655,sicP
Australia_GCA_010730655,sipA/sspA
Australia_GCA_010730655,sipD
Australia_GCA_010730655,sipC/sspC
Australia_GCA_010730655,sipB/sspB
Australia_GCA_010730655,sicA
Australia_GCA_010730655,spaS
Australia_GCA_010730655,spaR
Australia_GCA_010730655,spaQ
Australia_GCA_010730655,spaP
Australia_GCA_010730655,spaO
Australia_GCA_010730655,invJ
Australia_GCA_010730655,invI
Australia_GCA_010730655,invC
Australia_GCA_010730655,invB
Australia_GCA_010730655,invA
Australia_GCA_010730655,invE
Australia_GCA_010730655,invG
Australia_GCA_010730655,invF
Australia_GCA_010730655,invH
Australia_GCA_010730655,sopD
Australia_GCA_010730655,mgtC
Australia_GCA_010730655,mgtB
Australia_GCA_010730655,misL
Australia_GCA_010730655,lpfA
Australia_GCA_010730655,lpfB
Australia_GCA_010730655,lpfC
Australia_GCA_010730655,lpfD
Australia_GCA_010730655,lpfE
Australia_GCA_010730655,spvR
Australia_GCA_010730655,spvB
Australia_GCA_010730655,spvC
Australia_GCA_010730655,pefB
Australia_GCA_010730655,pefA
Australia_GCA_010730655,pefC
Australia_GCA_010730655,pefD
Australia_GCA_010730655,rck
Australia_GCA_010730655,sseK1
Australia_GCA_013218415,misL
Australia_GCA_013218415,mgtB
Australia_GCA_013218415,mgtC
Australia_GCA_013218415,sspH2
Australia_GCA_013218415,fimI
Australia_GCA_013218415,fimC
Australia_GCA_013218415,fimD
Australia_GCA_013218415,fimH
Australia_GCA_013218415,fimF
Australia_GCA_013218415,fepG
Australia_GCA_013218415,entB
Australia_GCA_013218415,entA
Australia_GCA_013218415,sseK1
Australia_GCA_013218415,rck
Australia_GCA_013218415,pefD
Australia_GCA_013218415,pefC
Australia_GCA_013218415,pefA
Australia_GCA_013218415,pefB
Australia_GCA_013218415,spvC
Australia_GCA_013218415,spvB
Australia_GCA_013218415,spvR
Australia_GCA_013218415,sopD2
Australia_GCA_013218415,spiC/ssaB
Australia_GCA_013218415,ssaC
Australia_GCA_013218415,ssaD
Australia_GCA_013218415,ssaE
Australia_GCA_013218415,sseA
Australia_GCA_013218415,sseB
Australia_GCA_013218415,sscA
Australia_GCA_013218415,sseC
Australia_GCA_013218415,sseD
Australia_GCA_013218415,sseE
Australia_GCA_013218415,sscB
Australia_GCA_013218415,sseF
Australia_GCA_013218415,sseG
Australia_GCA_013218415,ssaG
Australia_GCA_013218415,ssaH
Australia_GCA_013218415,ssaI
Australia_GCA_013218415,ssaJ
Australia_GCA_013218415,ssaK
Australia_GCA_013218415,ssaL
Australia_GCA_013218415,ssaM
Australia_GCA_013218415,ssaV
Australia_GCA_013218415,ssaN
Australia_GCA_013218415,ssaO
Australia_GCA_013218415,ssaP
Australia_GCA_013218415,ssaQ
Australia_GCA_013218415,ssaR
Australia_GCA_013218415,ssaS
Australia_GCA_013218415,ssaT
Australia_GCA_013218415,ssaU
Australia_GCA_013218415,steA
Australia_GCA_013218415,sifB
Australia_GCA_013218415,steB
Australia_GCA_013218415,sseJ
Australia_GCA_013218415,sinH
Australia_GCA_013218415,ratB
Australia_GCA_013218415,sodCI
Australia_GCA_013218415,sopE2
Australia_GCA_013218415,sseL
Australia_GCA_013218415,sseI/srfH
Australia_GCA_013218415,ompA
Australia_GCA_013218415,pipB
Australia_GCA_013218415,sopB/sigD
Australia_GCA_013218415,csgG
Australia_GCA_013218415,csgF
Australia_GCA_013218415,csgE
Australia_GCA_013218415,csgD
Australia_GCA_013218415,csgB
Australia_GCA_013218415,csgA
Australia_GCA_013218415,csgC
Australia_GCA_013218415,sifA
Australia_GCA_013218415,slrP
Australia_GCA_013218415,pipB2
Australia_GCA_013218415,mig-14
Australia_GCA_013218415,avrA
Australia_GCA_013218415,orgC
Australia_GCA_013218415,orgB
Australia_GCA_013218415,orgA
Australia_GCA_013218415,prgK
Australia_GCA_013218415,prgJ
Australia_GCA_013218415,prgI
Australia_GCA_013218415,prgH
Australia_GCA_013218415,sptP
Australia_GCA_013218415,sicP
Australia_GCA_013218415,sipA/sspA
Australia_GCA_013218415,sipD
Australia_GCA_013218415,sipC/sspC
Australia_GCA_013218415,sipB/sspB
Australia_GCA_013218415,sicA
