ID,Plasmid_GENE
Australia_GCA_010422805,IncFIB(S)
Australia_GCA_010422805,IncFII(S)
Australia_GCA_010730655,IncFIB(S)
Australia_GCA_010730655,IncFII(S)
Australia_GCA_013218415,ColRNAI
Australia_GCA_013218415,IncFIB(S)
Australia_GCA_013218415,IncFII(S)
Australia_GCA_013218545,IncFII(S)
Australia_GCA_013218545,IncFIB(S)
Australia_GCA_013218545,IncI1
Australia_GCA_013218545,IncX4
Australia_GCA_013218545,IncP1
Australia_GCA_013218545,ColRNAI
Australia_GCA_013218615,IncFII(S)
Australia_GCA_013218615,IncFIB(S)
Australia_GCA_013218615,IncX3
Australia_GCA_013218615,IncX1
Australia_GCA_013218635,IncFII(S)
Australia_GCA_013218635,ColRNAI
Australia_GCA_013218635,IncFIB(S)
Australia_GCA_013218745,IncFII(S)
Australia_GCA_013218745,IncFIB(S)
Australia_GCA_013218745,ColRNAI
Australia_GCA_013218805,ColRNAI
Australia_GCA_013218805,ColRNAI
Australia_GCA_013218805,IncFII(S)
Australia_GCA_013218805,IncFIB(S)
Australia_GCA_013218845,IncFII(S)
Australia_GCA_013218845,ColRNAI
Australia_GCA_013218845,IncFIB(S)
Australia_GCA_013218875,IncFII(S)
Australia_GCA_013218875,IncFIB(S)
Australia_GCA_013218905,IncFIB(S)
Australia_GCA_013218905,IncFII(S)
Australia_GCA_013218965,IncFII(S)
Australia_GCA_013218965,IncFIB(S)
Australia_GCA_013218975,IncFII(S)
Australia_GCA_013218975,IncFIB(S)
Australia_GCA_013218975,ColRNAI
Australia_GCA_013219015,IncX1
Australia_GCA_013219015,IncFIB(S)
Australia_GCA_013219015,IncFII(S)
Australia_GCA_013219655,IncX1
Australia_GCA_013219655,IncFII(S)
Australia_GCA_013219655,IncFIB(S)
Australia_GCA_013220405,IncFIB(S)
Australia_GCA_013220405,IncFII(S)
Australia_GCA_013220415,IncFIB(S)
Australia_GCA_013220415,IncFII(S)
Australia_GCA_013220415,ColRNAI
Australia_GCA_013220585,IncFII(S)
Australia_GCA_013220585,IncFIB(S)
Australia_GCA_013220585,ColRNAI
Australia_GCA_013220665,IncFIB(S)
Australia_GCA_013220665,IncFII(S)
Australia_GCA_013220665,IncX1
Australia_GCA_013220685,IncFIB(S)
Australia_GCA_013220685,IncFII(S)
Australia_GCA_013220695,IncFII(S)
Australia_GCA_013220695,IncFIB(S)
Australia_GCA_013220705,IncFIB(S)
Australia_GCA_013220705,IncX1
Australia_GCA_013220705,IncFII(S)
Australia_GCA_013220775,IncFII(S)
Australia_GCA_013220775,IncFIB(S)
Australia_GCA_013220815,IncFII(S)
Australia_GCA_013220815,IncFIB(S)
Australia_GCA_013220865,IncX1
Australia_GCA_013220865,IncFII(S)
Australia_GCA_013220865,IncFIB(S)
Australia_GCA_013220885,ColRNAI
Australia_GCA_013220885,IncX1
Australia_GCA_013220885,IncFII(S)
Australia_GCA_013220885,IncFIB(S)
Australia_GCA_013220885,Col440I
Australia_GCA_013221005,IncFII(S)
Australia_GCA_013221005,IncFIB(S)
Australia_GCA_013226665,IncFIB(S)
Australia_GCA_013226665,IncFII(S)
Australia_GCA_025770365,IncFIB(S)
Australia_GCA_025770365,IncFII(S)
Australia_GCA_025770365,Col156
Canada_GCA_019582595,Col156
Canada_GCA_019582595,Col(BS512)
Canada_GCA_019583915,IncFII(S)
Canada_GCA_019583915,IncFIB(S)
Canada_GCA_019584035,ColRNAI
Canada_GCA_019584035,Col(BS512)
Canada_GCA_019584055,IncFIB(S)
Canada_GCA_019584055,IncFII(S)
Canada_GCA_019584315,ColRNAI
Canada_GCA_019584315,Col(MG828)
Canada_GCA_019584315,Col156
Canada_GCA_019584315,ColRNAI
Canada_GCA_019584315,ColRNAI
Canada_GCA_019584315,ColpVC
Canada_GCA_019584315,Col(BS512)
Canada_GCA_019584315,ColpVC
Canada_GCA_019586325,IncFIB(S)
Canada_GCA_019586325,IncFII(S)
Canada_GCA_019588685,ColRNAI
Canada_GCA_019588685,ColRNAI
Canada_GCA_019588685,Col(MG828)
Canada_GCA_019588725,IncI1
Canada_GCA_019588725,IncFIB(S)
Canada_GCA_019588725,IncFII(S)
Canada_GCA_019588725,Col440I
Canada_GCA_019588825,IncFIB(S)
Canada_GCA_019588825,IncFII(S)
Canada_GCA_019588985,IncFIB(S)
Canada_GCA_019588985,IncFII(S)
Canada_GCA_019589065,ColRNAI
Canada_GCA_019589065,ColRNAI
Canada_GCA_019589245,IncI1
Canada_GCA_019589245,IncFII(S)
Canada_GCA_019589245,IncFIB(S)
Canada_GCA_019593325,IncFII(S)
Canada_GCA_019593325,IncFIB(S)
Hong_Kong_Sal100_19_contigs,IncFIB(S)
Hong_Kong_Sal100_19_contigs,IncX1
Hong_Kong_Sal100_19_contigs,IncFII(S)
Hong_Kong_Sal10_19_contigs,IncFIB(S)
Hong_Kong_Sal10_19_contigs,IncX1
Hong_Kong_Sal10_19_contigs,IncFII(S)
Hong_Kong_Sal10_19_contigs,ColRNAI
Hong_Kong_Sal11_19_contigs,IncFIB(S)
Hong_Kong_Sal11_19_contigs,IncFII(S)
Hong_Kong_Sal11_19_contigs,ColRNAI
Hong_Kong_Sal11_19_contigs,Col440II
Hong_Kong_Sal11_19_contigs,IncX3
Hong_Kong_Sal11_19_contigs,IncX1
Hong_Kong_Sal13_19_contigs,IncFIB(S)
Hong_Kong_Sal13_19_contigs,IncFII(S)
Hong_Kong_Sal14_19_contigs,IncI1
Hong_Kong_Sal14_19_contigs,IncX1
Hong_Kong_Sal14_19_contigs,IncFIB(S)
Hong_Kong_Sal14_19_contigs,IncFII(S)
Hong_Kong_Sal14_19_contigs,Col8282
Hong_Kong_Sal18_19_contigs,IncFIB(S)
Hong_Kong_Sal18_19_contigs,IncX1
Hong_Kong_Sal18_19_contigs,IncFII(S)
Hong_Kong_Sal19_19_contigs,IncFIB(S)
Hong_Kong_Sal19_19_contigs,IncFII(S)
Hong_Kong_Sal20_19_contigs,IncFIB(S)
Hong_Kong_Sal20_19_contigs,IncX1
Hong_Kong_Sal20_19_contigs,IncFII(S)
Hong_Kong_Sal25_19_contigs,IncFII(S)
Hong_Kong_Sal25_19_contigs,IncX1
Hong_Kong_Sal25_19_contigs,IncFIB(S)
Hong_Kong_Sal26_19_contigs,IncFIB(S)
Hong_Kong_Sal26_19_contigs,IncX1
Hong_Kong_Sal26_19_contigs,IncFII(S)
Hong_Kong_Sal27_19_contigs,IncFIB(S)
Hong_Kong_Sal27_19_contigs,IncX1
Hong_Kong_Sal27_19_contigs,IncFII(S)
Hong_Kong_Sal32_19_contigs,IncFII(S)
Hong_Kong_Sal32_19_contigs,IncX1
Hong_Kong_Sal32_19_contigs,IncFIB(S)
Hong_Kong_Sal35_19_contigs,IncFIB(S)
Hong_Kong_Sal35_19_contigs,IncX1
Hong_Kong_Sal35_19_contigs,IncFII(S)
Hong_Kong_Sal36_19_contigs,IncX1
Hong_Kong_Sal36_19_contigs,IncFIB(S)
Hong_Kong_Sal36_19_contigs,IncFII(S)
Hong_Kong_Sal50_19_contigs,IncFIB(S)
Hong_Kong_Sal50_19_contigs,IncX1
Hong_Kong_Sal50_19_contigs,IncFII(S)
Hong_Kong_Sal50_19_contigs,ColRNAI
Hong_Kong_Sal52_19_contigs,IncX1
Hong_Kong_Sal52_19_contigs,IncFIB(S)
Hong_Kong_Sal52_19_contigs,IncFII(S)
Hong_Kong_Sal52_19_contigs,ColRNAI
Hong_Kong_Sal53_19_contigs,IncFIB(S)
Hong_Kong_Sal53_19_contigs,IncFII(S)
Hong_Kong_Sal53_19_contigs,IncX1
Hong_Kong_Sal56_19_contigs,IncX1
Hong_Kong_Sal56_19_contigs,IncFIB(S)
Hong_Kong_Sal56_19_contigs,IncFII(S)
Hong_Kong_Sal58_19_contigs,IncFIB(S)
Hong_Kong_Sal58_19_contigs,IncX1
Hong_Kong_Sal58_19_contigs,IncFII(S)
Hong_Kong_Sal61_19_contigs,IncFIB(S)
Hong_Kong_Sal61_19_contigs,IncX3
Hong_Kong_Sal61_19_contigs,IncX1
Hong_Kong_Sal61_19_contigs,IncFII(S)
Hong_Kong_Sal63_19_contigs,IncFIB(S)
Hong_Kong_Sal63_19_contigs,IncX1
Hong_Kong_Sal63_19_contigs,IncFII(S)
Hong_Kong_Sal64_19_contigs,IncFIB(S)
Hong_Kong_Sal64_19_contigs,IncX1
Hong_Kong_Sal64_19_contigs,IncFII(S)
Hong_Kong_Sal65_19_contigs,IncFIB(S)
Hong_Kong_Sal65_19_contigs,IncFII(pHN7A8)
Hong_Kong_Sal65_19_contigs,IncFII(S)
Hong_Kong_Sal65_19_contigs,IncX1
Hong_Kong_Sal65_19_contigs,ColpVC
Hong_Kong_Sal66_19_contigs,IncFIB(S)
Hong_Kong_Sal66_19_contigs,IncX1
Hong_Kong_Sal66_19_contigs,IncFII(S)
Hong_Kong_Sal67_19_contigs,IncFIB(S)
Hong_Kong_Sal67_19_contigs,IncFII(S)
Hong_Kong_Sal67_19_contigs,IncX1
Hong_Kong_Sal68_19_contigs,IncFIB(S)
Hong_Kong_Sal68_19_contigs,IncX1
Hong_Kong_Sal68_19_contigs,IncFII(S)
Hong_Kong_Sal69_19_contigs,IncFIB(S)
Hong_Kong_Sal69_19_contigs,IncFII(S)
Hong_Kong_Sal6_19_contigs,IncFIB(S)
Hong_Kong_Sal6_19_contigs,IncX1
Hong_Kong_Sal6_19_contigs,IncI2
Hong_Kong_Sal6_19_contigs,IncFII(S)
Hong_Kong_Sal70_19_contigs,IncX1
Hong_Kong_Sal70_19_contigs,IncFIB(S)
Hong_Kong_Sal70_19_contigs,IncFII(S)
Hong_Kong_Sal70_19_contigs,ColRNAI
Hong_Kong_Sal72_19_contigs,IncHI2
Hong_Kong_Sal72_19_contigs,RepA
Hong_Kong_Sal72_19_contigs,IncHI2A
Hong_Kong_Sal72_19_contigs,IncX1
Hong_Kong_Sal72_19_contigs,IncFII(S)
Hong_Kong_Sal73_19_contigs,IncFIB(S)
Hong_Kong_Sal73_19_contigs,IncX1
Hong_Kong_Sal73_19_contigs,IncFII(S)
Hong_Kong_Sal75_19_contigs,IncX1
Hong_Kong_Sal75_19_contigs,IncFIB(S)
Hong_Kong_Sal75_19_contigs,IncFII(S)
Hong_Kong_Sal75_19_contigs,ColRNAI
Hong_Kong_Sal75_19_contigs,ColRNAI
Hong_Kong_Sal75_19_contigs,Col(BS512)
Hong_Kong_Sal76_19_contigs,IncFII(S)
Hong_Kong_Sal76_19_contigs,IncFIB(S)
Hong_Kong_Sal76_19_contigs,IncX1
Hong_Kong_Sal77_19_contigs,IncFIB(S)
Hong_Kong_Sal77_19_contigs,IncX1
Hong_Kong_Sal77_19_contigs,IncFII(S)
Hong_Kong_Sal78_19_contigs,IncI1
Hong_Kong_Sal78_19_contigs,IncX1
Hong_Kong_Sal82_19_contigs,IncFIB(S)
Hong_Kong_Sal82_19_contigs,IncX1
Hong_Kong_Sal82_19_contigs,IncFII(S)
Hong_Kong_Sal82_19_contigs,ColRNAI
Hong_Kong_Sal82_19_contigs,ColRNAI
Hong_Kong_Sal83_19_contigs,IncFIB(S)
Hong_Kong_Sal83_19_contigs,IncX1
Hong_Kong_Sal83_19_contigs,IncFII(S)
Hong_Kong_Sal85_19_contigs,IncFIB(S)
Hong_Kong_Sal85_19_contigs,IncX1
Hong_Kong_Sal85_19_contigs,IncFII(S)
Hong_Kong_Sal85_19_contigs,ColRNAI
Hong_Kong_Sal86_19_contigs,IncX1
Hong_Kong_Sal88_19_contigs,IncI
Hong_Kong_Sal88_19_contigs,IncFIB(S)
Hong_Kong_Sal88_19_contigs,IncFII(S)
Hong_Kong_Sal88_19_contigs,Col8282
Hong_Kong_Sal91_19_contigs,IncX1
Hong_Kong_Sal91_19_contigs,IncFIB(S)
Hong_Kong_Sal91_19_contigs,IncFII(S)
Hong_Kong_Sal93_19_contigs,IncX1
Hong_Kong_Sal93_19_contigs,IncFIB(S)
Hong_Kong_Sal93_19_contigs,IncFII(S)
Hong_Kong_Sal94_19_contigs,IncFIB(S)
Hong_Kong_Sal94_19_contigs,IncX1
Hong_Kong_Sal94_19_contigs,IncFII(S)
Hong_Kong_Sal98_19_contigs,IncFIB(S)
Hong_Kong_Sal98_19_contigs,IncX1
Hong_Kong_Sal98_19_contigs,IncFII(S)
Hong_Kong_Sal99_19_contigs,IncX1
Hong_Kong_Sal99_19_contigs,IncFIB(S)
Hong_Kong_Sal99_19_contigs,IncFII(S)
Mainland_China_GCA_023606685,IncFIB(S)
Mainland_China_GCA_023606685,IncX1
Mainland_China_GCA_023606685,IncFII(S)
Mainland_China_GCA_023606785,IncFIB(S)
Mainland_China_GCA_023606785,IncX1
Mainland_China_GCA_023606785,IncFII(S)
Mainland_China_GCA_023606825,IncFII(S)
Mainland_China_GCA_023606825,IncX1
Mainland_China_GCA_023606825,IncFIB(S)
Mainland_China_GCA_023606845,IncFIB(S)
Mainland_China_GCA_023606845,IncX1
Mainland_China_GCA_023606845,IncFII(S)
Mainland_China_GCA_023606965,IncFIB(S)
Mainland_China_GCA_023606965,IncX1
Mainland_China_GCA_023606965,IncFII(S)
Mainland_China_GCA_023606965,ColRNAI
Mainland_China_GCA_023607115,IncFIB(S)
Mainland_China_GCA_023607115,IncFII(S)
Mainland_China_GCA_023607115,IncX1
Mainland_China_GCA_023607115,IncX3
Mainland_China_GCA_023607115,Col156
Mainland_China_GCA_023607125,IncFIB(S)
Mainland_China_GCA_023607125,IncX1
Mainland_China_GCA_023607125,IncFII(S)
Mainland_China_GCA_023607405,IncFIB(S)
Mainland_China_GCA_023607405,IncFII(S)
Mainland_China_GCA_023607405,ColRNAI
Mainland_China_GCA_023607435,IncFIB(S)
Mainland_China_GCA_023607435,IncX1
Mainland_China_GCA_023607435,IncFII(S)
Mainland_China_GCA_023607465,IncI1
Mainland_China_GCA_023607465,IncFIB(S)
Mainland_China_GCA_023607465,IncFII(S)
Mainland_China_GCA_023607505,IncFIB(S)
Mainland_China_GCA_023607505,IncFII(S)
Mainland_China_GCA_023607525,IncX1
Mainland_China_GCA_023607565,IncFII(S)
Mainland_China_GCA_023607565,IncX1
Mainland_China_GCA_023607565,IncFIB(S)
Mainland_China_GCA_023607605,IncFIB(S)
Mainland_China_GCA_023607605,IncFII(S)
Mainland_China_GCA_023607645,IncFIB(S)
Mainland_China_GCA_023607645,IncX1
Mainland_China_GCA_023607645,IncFII(S)
Mainland_China_GCA_023607785,IncFIB(S)
Mainland_China_GCA_023607785,IncX1
Mainland_China_GCA_023607785,IncFII(S)
Mainland_China_GCA_023607785,ColpVC
Mainland_China_GCA_023607925,IncFIB(S)
Mainland_China_GCA_023607925,IncFII(S)
Mainland_China_GCA_023607925,IncX3
Mainland_China_GCA_023607925,IncX1
Mainland_China_GCA_023608005,IncX1
Mainland_China_GCA_023608025,IncFIB(S)
Mainland_China_GCA_023608025,IncX1
Mainland_China_GCA_023608025,IncFII(S)
Mainland_China_GCA_023608035,IncFII(S)
Mainland_China_GCA_023608035,IncX1
Mainland_China_GCA_023608035,IncFIB(S)
Mainland_China_GCA_023608125,IncFIB(S)
Mainland_China_GCA_023608125,IncX1
Mainland_China_GCA_023608125,IncFII(S)
Mainland_China_GCA_023608205,IncFII(S)
Mainland_China_GCA_023608205,IncFIB(S)
Mainland_China_GCA_023608205,IncX3
Mainland_China_GCA_023608205,IncX1
South_Africa_GCA_015857065,IncFII(S)
South_Africa_GCA_015857065,IncFIB(S)
South_Africa_GCA_015857345,IncFII(S)
South_Africa_GCA_015857345,IncFIB(S)
South_Africa_GCA_015857565,IncFII(S)
South_Africa_GCA_015857565,IncFIB(S)
South_Africa_GCA_015857805,IncFII(S)
South_Africa_GCA_015857805,IncFIB(S)
South_Africa_GCA_015857815,IncFII(S)
South_Africa_GCA_015857815,IncFIB(S)
South_Africa_GCA_015857885,IncFII(S)
South_Africa_GCA_015857885,IncFIB(S)
South_Africa_GCA_015857965,IncFII(S)
South_Africa_GCA_015857965,IncFIB(S)
South_Africa_GCA_015858025,IncFII(S)
South_Africa_GCA_015858025,IncFIB(S)
South_Africa_GCA_015858085,IncFII(S)
South_Africa_GCA_015858085,IncFIB(S)
South_Africa_GCA_015858125,IncFII(S)
South_Africa_GCA_015858125,IncFIB(S)
South_Africa_GCA_015858145,IncFII(S)
South_Africa_GCA_015858145,IncFIB(S)
South_Africa_GCA_015858165,IncFII(S)
South_Africa_GCA_015858165,IncFIB(S)
South_Africa_GCA_015858325,IncFII(S)
South_Africa_GCA_015858325,IncFIB(S)
South_Africa_GCA_015858345,IncFII(S)
South_Africa_GCA_015858345,IncFIB(S)
South_Africa_GCA_015858425,IncFII(S)
South_Africa_GCA_015858425,IncFIB(S)
South_Africa_GCA_015858465,IncFII(S)
South_Africa_GCA_015858465,IncFIB(S)
South_Africa_GCA_015858525,IncFIB(S)
South_Africa_GCA_015858525,IncFII(S)
South_Africa_GCA_015858565,IncFII(S)
South_Africa_GCA_015858565,IncFIB(S)
South_Africa_GCA_015858585,IncFII(S)
South_Africa_GCA_015858585,IncFIB(S)
South_Africa_GCA_015858665,IncFII(S)
South_Africa_GCA_015858665,IncFIB(S)
South_Africa_GCA_015858675,IncFII(S)
South_Africa_GCA_015858675,IncFIB(S)
South_Africa_GCA_015858765,IncFII(S)
South_Africa_GCA_015858765,IncFIB(S)
South_Africa_GCA_015858845,IncFIB(S)
South_Africa_GCA_015858845,IncFII(S)
South_Africa_GCA_015859065,IncFII(S)
South_Africa_GCA_015859065,IncFIB(S)
South_Africa_GCA_015860085,IncFII(S)
South_Africa_GCA_015860085,IncFIB(S)
Taiwan_GCA_010253615,IncFIB(S)
Taiwan_GCA_010253615,IncFII(S)
Taiwan_GCA_010253615,Col(Ye4449)
Taiwan_GCA_010253615,ColRNAI
Taiwan_GCA_010254655,IncFIB(S)
Taiwan_GCA_010254655,IncFII(S)
Taiwan_GCA_010254655,Col(Ye4449)
Taiwan_GCA_010254655,ColRNAI
Taiwan_GCA_010254835,IncX1
Taiwan_GCA_010254835,IncX3
Taiwan_GCA_010254835,IncFIB(S)
Taiwan_GCA_010254835,IncFII(S)
Taiwan_GCA_010254835,ColRNAI
Taiwan_GCA_010254835,IncX3
Taiwan_GCA_010254835,IncX1
Taiwan_GCA_010255195,IncFIB(S)
Taiwan_GCA_010255195,IncFII(S)
Taiwan_GCA_010255195,Col(Ye4449)
Taiwan_GCA_010255195,ColRNAI
Taiwan_GCA_010255295,IncFIB(S)
Taiwan_GCA_010255295,IncFII(S)
Taiwan_GCA_010255295,Col(Ye4449)
Taiwan_GCA_010255295,ColRNAI
United_Kingdom_GCA_015123095,IncX1
United_Kingdom_GCA_015123095,IncFII(S)
United_Kingdom_GCA_015123095,IncFIB(S)
United_Kingdom_GCA_015123095,ColRNAI
United_Kingdom_GCA_015123275,IncFII(S)
United_Kingdom_GCA_015123275,IncFIB(S)
United_Kingdom_GCA_015127605,IncFII(S)
United_Kingdom_GCA_015127605,IncFIB(S)
United_Kingdom_GCA_015127645,IncFII(S)
United_Kingdom_GCA_015127645,IncFIB(S)
United_Kingdom_GCA_015127805,IncFII(S)
United_Kingdom_GCA_015127805,IncFIB(S)
United_Kingdom_GCA_015128595,IncFII(S)
United_Kingdom_GCA_015128595,IncFIB(S)
United_Kingdom_GCA_015128665,IncFII(S)
United_Kingdom_GCA_015128665,IncFIB(S)
United_Kingdom_GCA_015128665,IncX1
United_Kingdom_GCA_015128665,ColRNAI
United_Kingdom_GCA_015129935,IncFII(S)
United_Kingdom_GCA_015129935,IncFIB(S)
United_Kingdom_GCA_015129935,Col440II
United_Kingdom_GCA_015129935,Col440I
United_Kingdom_GCA_015130975,IncFII(S)
United_Kingdom_GCA_015130975,IncFIB(S)
United_Kingdom_GCA_015131295,IncI1
United_Kingdom_GCA_015131295,IncFII(S)
United_Kingdom_GCA_015131295,IncFIB(S)
United_Kingdom_GCA_015131315,IncFII(S)
United_Kingdom_GCA_015131315,IncFIB(S)
United_Kingdom_GCA_015131315,IncX1
United_Kingdom_GCA_015131315,ColRNAI
United_Kingdom_GCA_015131435,IncFII(S)
United_Kingdom_GCA_015131435,IncFIB(S)
United_Kingdom_GCA_015131575,IncFII(S)
United_Kingdom_GCA_015131575,IncFIB(S)
United_Kingdom_GCA_015131615,IncFII(S)
United_Kingdom_GCA_015131615,IncFIB(S)
United_Kingdom_GCA_015131675,IncFII(S)
United_Kingdom_GCA_015131675,IncFIB(S)
United_Kingdom_GCA_015131735,IncFII(S)
United_Kingdom_GCA_015131735,IncFIB(S)
United_Kingdom_GCA_015131835,IncFII(S)
United_Kingdom_GCA_015131835,IncFIB(S)
United_Kingdom_GCA_015131995,IncFII(S)
United_Kingdom_GCA_015131995,IncFIB(S)
United_Kingdom_GCA_015132775,IncI
United_Kingdom_GCA_015132775,IncFII(S)
United_Kingdom_GCA_015132775,IncFIB(S)
United_Kingdom_GCA_015132775,ColRNAI
United_Kingdom_GCA_015133115,IncFII(S)
United_Kingdom_GCA_015133115,IncFIB(S)
United_Kingdom_GCA_015133555,IncFII(S)
United_Kingdom_GCA_015133555,IncFIB(S)
United_Kingdom_GCA_015133555,IncX1
United_Kingdom_GCA_015170025,IncFII(S)
United_Kingdom_GCA_015170025,IncFIB(S)
United_Kingdom_GCA_015170195,IncFII(S)
United_Kingdom_GCA_015170195,IncFIB(S)
United_Kingdom_GCA_017235175,IncFII(S)
United_Kingdom_GCA_017235175,IncFIB(S)
United_Kingdom_GCA_017235175,IncI2
United_Kingdom_GCA_017235175,IncX4
United_Kingdom_GCA_017235175,Col440II
United_Kingdom_GCA_017235175,Col440I
United_Kingdom_GCA_019475725,IncFII(S)
United_Kingdom_GCA_019475725,IncFIB(S)
United_Kingdom_GCA_019475725,ColRNAI
United_Kingdom_GCA_019476025,IncFII(S)
United_Kingdom_GCA_019476025,IncFIB(S)
United_Kingdom_GCA_019476025,IncX1
United_Kingdom_GCA_019476805,IncFII(S)
United_Kingdom_GCA_019476805,IncFIB(S)
United_Kingdom_GCA_019476805,IncX1
United_Kingdom_GCA_019476805,ColRNAI
United_Kingdom_GCA_019477265,IncFIB(S)
United_Kingdom_GCA_019477265,IncFII(S)
United_Kingdom_GCA_019477265,ColRNAI
United_Kingdom_GCA_019477265,ColpVC
United_Kingdom_GCA_019525025,IncFII(S)
United_Kingdom_GCA_019525025,IncFIB(S)
United_Kingdom_GCA_019525025,IncX4
United_Kingdom_GCA_019525025,Col440II
United_Kingdom_GCA_019525025,Col440I
United_Kingdom_GCA_019543535,IncFII(S)
United_Kingdom_GCA_019543535,IncFIB(S)
United_Kingdom_GCA_019543535,IncI2
United_Kingdom_GCA_019543535,IncX4
United_Kingdom_GCA_019543535,Col440II
United_Kingdom_GCA_019543535,Col440I
United_States_GCA_008396455,IncFIB(S)
United_States_GCA_008396455,IncFII(S)
United_States_GCA_008396595,IncFIB(S)
United_States_GCA_008396595,IncFII(S)
United_States_GCA_008842065,IncFII(S)
United_States_GCA_008842065,IncFIB(S)
United_States_GCA_008888505,IncFIB(S)
United_States_GCA_008888505,IncFII(S)
United_States_GCA_008888505,Col440I
United_States_GCA_008888745,IncFIB(S)
United_States_GCA_008888745,IncFII(S)
United_States_GCA_008888765,IncFII(S)
United_States_GCA_008888765,IncFIB(S)
United_States_GCA_010434915,IncFIB(S)
United_States_GCA_010434915,IncFII(S)
