ID,Resistance gene
Australia_GCA_010422805,aac(6')-Iaa
Australia_GCA_010730655,aac(6')-Iaa
Australia_GCA_013218415,aac(6')-Iaa
Australia_GCA_013218545,aac(6')-Iaa
Australia_GCA_013218545,aadA1
Australia_GCA_013218545,aadA1
Australia_GCA_013218545,blaTEM-1B
Australia_GCA_013218545,fosA4
Australia_GCA_013218545,sul3
Australia_GCA_013218615,aac(6')-Iaa
Australia_GCA_013218615,blaTEM-220
Australia_GCA_013218615,blaTEM-135
Australia_GCA_013218615,blaTEM-126
Australia_GCA_013218615,blaTEM-106
Australia_GCA_013218615,blaTEM-1B
Australia_GCA_013218635,aac(6')-Iaa
Australia_GCA_013218745,aac(6')-Iaa
Australia_GCA_013218805,aac(6')-Iaa
Australia_GCA_013218845,aac(6')-Iaa
Australia_GCA_013218875,aac(6')-Iaa
Australia_GCA_013218905,aac(6')-Iaa
Australia_GCA_013218965,aac(6')-Iaa
Australia_GCA_013218975,aac(6')-Iaa
Australia_GCA_013219015,aac(6')-Iaa
Australia_GCA_013219015,tet(A)
Australia_GCA_013219655,aac(6')-Iaa
Australia_GCA_013219655,aph(6)-Id
Australia_GCA_013219655,aph(3'')-Ib
Australia_GCA_013219655,blaTEM-1B
Australia_GCA_013219655,sul2
Australia_GCA_013220405,aac(6')-Iaa
Australia_GCA_013220415,aac(6')-Iaa
Australia_GCA_013220585,aac(6')-Iaa
Australia_GCA_013220665,aph(6)-Id
Australia_GCA_013220665,aph(3'')-Ib
Australia_GCA_013220665,aac(6')-Iaa
Australia_GCA_013220665,blaTEM-1B
Australia_GCA_013220665,sul2
Australia_GCA_013220665,tet(A)
Australia_GCA_013220685,aac(6')-Iaa
Australia_GCA_013220695,aac(6')-Iaa
Australia_GCA_013220705,aph(6)-Id
Australia_GCA_013220705,aph(3'')-Ib
Australia_GCA_013220705,aac(6')-Iaa
Australia_GCA_013220705,blaTEM-1B
Australia_GCA_013220705,sul2
Australia_GCA_013220705,tet(A)
Australia_GCA_013220775,aac(6')-Iaa
Australia_GCA_013220815,aac(6')-Iaa
Australia_GCA_013220865,aac(6')-Iaa
Australia_GCA_013220885,aac(6')-Iaa
Australia_GCA_013220885,tet(A)
Australia_GCA_013220895,aph(3'')-Ib
Australia_GCA_013220895,aac(6')-Iaa
Australia_GCA_013220895,blaTEM-1B
Australia_GCA_013221005,aph(6)-Id
Australia_GCA_013221005,aac(6')-Iaa
Australia_GCA_013226665,aac(6')-Iaa
Australia_GCA_025770365,aac(6')-Iaa
Canada_GCA_019582215,aac(6')-Iaa
Canada_GCA_019582215,aac(6')-Iaa
Canada_GCA_019582255,aac(6')-Iaa
Canada_GCA_019582255,aac(6')-Iaa
Canada_GCA_019582275,aac(6')-Iaa
Canada_GCA_019582275,aac(6')-Iaa
Canada_GCA_019582375,aac(6')-Iaa
Canada_GCA_019582375,aac(6')-Iaa
Canada_GCA_019582555,aac(6')-Iaa
Canada_GCA_019582555,aac(6')-Iaa
Canada_GCA_019582565,aac(6')-Iaa
Canada_GCA_019582565,aac(6')-Iaa
Canada_GCA_019582595,aac(6')-Iaa
Canada_GCA_019582595,aac(6')-Iaa
Canada_GCA_019582655,aac(6')-Iaa
Canada_GCA_019582655,aac(6')-Iaa
Canada_GCA_019582695,aac(6')-Iaa
Canada_GCA_019582695,aac(6')-Iaa
Canada_GCA_019582735,aac(6')-Iaa
Canada_GCA_019582735,aac(6')-Iaa
Canada_GCA_019582815,aac(6')-Iaa
Canada_GCA_019582815,aac(6')-Iaa
Canada_GCA_019583915,aac(6')-Iaa
Canada_GCA_019583915,aac(6')-Iaa
Canada_GCA_019584035,aac(6')-Iaa
Canada_GCA_019584035,aac(6')-Iaa
Canada_GCA_019584055,aac(6')-Iaa
Canada_GCA_019584055,aac(6')-Iaa
Canada_GCA_019584075,aac(6')-Iaa
Canada_GCA_019584075,aac(6')-Iaa
Canada_GCA_019584265,aac(6')-Iaa
Canada_GCA_019584265,aac(6')-Iaa
Canada_GCA_019584315,aac(6')-Iaa
Canada_GCA_019584315,aph(6)-Id
Canada_GCA_019584315,aph(3'')-Ib
Canada_GCA_019584315,aac(6')-Iaa
Canada_GCA_019584315,aph(6)-Id
Canada_GCA_019584315,aph(3'')-Ib
Canada_GCA_019584315,sul2
Canada_GCA_019584315,sul2
Canada_GCA_019586325,aac(6')-Iaa
Canada_GCA_019586325,aac(6')-Iaa
Canada_GCA_019586325,aac(6')-Iaa
Canada_GCA_019588685,aac(6')-Iaa
Canada_GCA_019588685,aac(6')-Iaa
Canada_GCA_019588725,aac(6')-Iaa
Canada_GCA_019588725,aac(6')-Iaa
Canada_GCA_019588725,qnrB19
Canada_GCA_019588745,aac(6')-Iaa
Canada_GCA_019588745,aac(6')-Iaa
Canada_GCA_019588765,aac(6')-Iaa
Canada_GCA_019588765,aac(6')-Iaa
Canada_GCA_019588825,aac(6')-Iaa
Canada_GCA_019588825,aac(6')-Iaa
Canada_GCA_019588865,aac(6')-Iaa
Canada_GCA_019588865,aac(6')-Iaa
Canada_GCA_019588985,aac(6')-Iaa
Canada_GCA_019588985,aac(6')-Iaa
Canada_GCA_019589065,aac(6')-Iaa
Canada_GCA_019589065,aac(6')-Iaa
Canada_GCA_019589105,aac(6')-Iaa
Canada_GCA_019589105,aac(6')-Iaa
Canada_GCA_019589125,aac(6')-Iaa
Canada_GCA_019589125,aac(6')-Iaa
Canada_GCA_019589245,aac(6')-Iaa
Canada_GCA_019589245,aac(6')-Iaa
Canada_GCA_019593325,aac(6')-Iaa
Canada_GCA_019593325,aac(6')-Iaa
Hong_Kong_Sal100_19_contigs,aac(6')-Iaa
Hong_Kong_Sal100_19_contigs,aph(6)-Id
Hong_Kong_Sal100_19_contigs,aph(3'')-Ib
Hong_Kong_Sal100_19_contigs,blaTEM-1B
Hong_Kong_Sal100_19_contigs,blaTEM-1B
Hong_Kong_Sal100_19_contigs,sul2
Hong_Kong_Sal10_19_contigs,aac(6')-Iaa
Hong_Kong_Sal10_19_contigs,aph(6)-Id
Hong_Kong_Sal10_19_contigs,aph(3'')-Ib
Hong_Kong_Sal10_19_contigs,blaTEM-1B
Hong_Kong_Sal10_19_contigs,sul2
Hong_Kong_Sal11_19_contigs,aadA5
Hong_Kong_Sal11_19_contigs,aph(6)-Id
Hong_Kong_Sal11_19_contigs,aph(3'')-Ib
Hong_Kong_Sal11_19_contigs,aac(6')-Iaa
Hong_Kong_Sal11_19_contigs,blaTEM-1B
Hong_Kong_Sal11_19_contigs,sul2
Hong_Kong_Sal11_19_contigs,dfrA17
Hong_Kong_Sal13_19_contigs,aac(6')-Iaa
Hong_Kong_Sal14_19_contigs,aac(6')-Iaa
Hong_Kong_Sal14_19_contigs,aph(6)-Id
Hong_Kong_Sal14_19_contigs,aph(3'')-Ib
Hong_Kong_Sal14_19_contigs,blaTEM-1B
Hong_Kong_Sal14_19_contigs,sul2
Hong_Kong_Sal18_19_contigs,aac(6')-Iaa
Hong_Kong_Sal18_19_contigs,aph(6)-Id
Hong_Kong_Sal18_19_contigs,aph(3'')-Ib
Hong_Kong_Sal18_19_contigs,blaTEM-1B
Hong_Kong_Sal18_19_contigs,blaTEM-1B
Hong_Kong_Sal18_19_contigs,sul2
Hong_Kong_Sal19_19_contigs,aac(6')-Iaa
Hong_Kong_Sal20_19_contigs,aac(6')-Iaa
Hong_Kong_Sal20_19_contigs,aph(6)-Id
Hong_Kong_Sal20_19_contigs,aph(3'')-Ib
Hong_Kong_Sal20_19_contigs,blaTEM-216
Hong_Kong_Sal20_19_contigs,blaTEM-214
Hong_Kong_Sal20_19_contigs,blaTEM-210
Hong_Kong_Sal20_19_contigs,blaTEM-209
Hong_Kong_Sal20_19_contigs,blaTEM-206
Hong_Kong_Sal20_19_contigs,blaTEM-141
Hong_Kong_Sal20_19_contigs,blaTEM-57
Hong_Kong_Sal20_19_contigs,blaTEM-34
Hong_Kong_Sal20_19_contigs,blaTEM-33
Hong_Kong_Sal20_19_contigs,blaTEM-1B
Hong_Kong_Sal20_19_contigs,sul2
Hong_Kong_Sal25_19_contigs,aac(6')-Iaa
Hong_Kong_Sal25_19_contigs,aph(6)-Id
Hong_Kong_Sal25_19_contigs,aph(3'')-Ib
Hong_Kong_Sal25_19_contigs,blaTEM-1B
Hong_Kong_Sal25_19_contigs,blaTEM-1B
Hong_Kong_Sal25_19_contigs,sul2
Hong_Kong_Sal26_19_contigs,aac(6')-Iaa
Hong_Kong_Sal26_19_contigs,aph(6)-Id
Hong_Kong_Sal26_19_contigs,aph(3'')-Ib
Hong_Kong_Sal26_19_contigs,blaTEM-216
Hong_Kong_Sal26_19_contigs,blaTEM-214
Hong_Kong_Sal26_19_contigs,blaTEM-210
Hong_Kong_Sal26_19_contigs,blaTEM-209
Hong_Kong_Sal26_19_contigs,blaTEM-206
Hong_Kong_Sal26_19_contigs,blaTEM-141
Hong_Kong_Sal26_19_contigs,blaTEM-57
Hong_Kong_Sal26_19_contigs,blaTEM-34
Hong_Kong_Sal26_19_contigs,blaTEM-33
Hong_Kong_Sal26_19_contigs,blaTEM-1B
Hong_Kong_Sal26_19_contigs,sul2
Hong_Kong_Sal27_19_contigs,aac(6')-Iaa
Hong_Kong_Sal27_19_contigs,aph(6)-Id
Hong_Kong_Sal27_19_contigs,aph(3'')-Ib
Hong_Kong_Sal27_19_contigs,blaTEM-216
Hong_Kong_Sal27_19_contigs,blaTEM-214
Hong_Kong_Sal27_19_contigs,blaTEM-210
Hong_Kong_Sal27_19_contigs,blaTEM-209
Hong_Kong_Sal27_19_contigs,blaTEM-206
Hong_Kong_Sal27_19_contigs,blaTEM-141
Hong_Kong_Sal27_19_contigs,blaTEM-57
Hong_Kong_Sal27_19_contigs,blaTEM-34
Hong_Kong_Sal27_19_contigs,blaTEM-33
Hong_Kong_Sal27_19_contigs,blaTEM-1B
Hong_Kong_Sal27_19_contigs,sul2
Hong_Kong_Sal32_19_contigs,aac(6')-Iaa
Hong_Kong_Sal32_19_contigs,aph(6)-Id
Hong_Kong_Sal32_19_contigs,aph(3'')-Ib
Hong_Kong_Sal32_19_contigs,blaTEM-1B
Hong_Kong_Sal32_19_contigs,blaTEM-1B
Hong_Kong_Sal32_19_contigs,sul2
Hong_Kong_Sal35_19_contigs,aac(6')-Iaa
Hong_Kong_Sal35_19_contigs,aph(6)-Id
Hong_Kong_Sal35_19_contigs,aph(3'')-Ib
Hong_Kong_Sal35_19_contigs,blaTEM-1B
Hong_Kong_Sal35_19_contigs,blaTEM-1B
Hong_Kong_Sal35_19_contigs,sul2
Hong_Kong_Sal36_19_contigs,aph(6)-Id
Hong_Kong_Sal36_19_contigs,aph(3'')-Ib
Hong_Kong_Sal36_19_contigs,aac(6')-Iaa
Hong_Kong_Sal36_19_contigs,blaTEM-1B
Hong_Kong_Sal36_19_contigs,blaTEM-1B
