ID,ST
'Australia_GCA_010422805',11
'Australia_GCA_010730655',11
'Australia_GCA_013218415',1925
'Australia_GCA_013218545',11
'Australia_GCA_013218615',11
'Australia_GCA_013218635',1925
'Australia_GCA_013218745',1925
'Australia_GCA_013218805',1925
'Australia_GCA_013218845',1925
'Australia_GCA_013218875',11
'Australia_GCA_013218905',11
'Australia_GCA_013218965',11
'Australia_GCA_013218975',1925
'Australia_GCA_013219015',1925
'Australia_GCA_013219655',11
'Australia_GCA_013220405',11
'Australia_GCA_013220415',1925
'Australia_GCA_013220585',11
'Australia_GCA_013220665',11
'Australia_GCA_013220685',11
'Australia_GCA_013220695',11
'Australia_GCA_013220705',11
'Australia_GCA_013220775',11
'Australia_GCA_013220815',1925
'Australia_GCA_013220865',1925
'Australia_GCA_013220885',1925
'Australia_GCA_013220895',11
'Australia_GCA_013221005',3233
'Australia_GCA_013226665',1925
'Australia_GCA_025770365',11
'Canada_GCA_019582215',11
'Canada_GCA_019582255',11
'Canada_GCA_019582275',11
'Canada_GCA_019582375',11
'Canada_GCA_019582555',11
'Canada_GCA_019582565',11
'Canada_GCA_019582595',11
'Canada_GCA_019582655',11
'Canada_GCA_019582695',11
'Canada_GCA_019582735',11
'Canada_GCA_019582815',11
'Canada_GCA_019583915',11
'Canada_GCA_019584035',11
'Canada_GCA_019584055',11
'Canada_GCA_019584075',11
'Canada_GCA_019584265',11
'Canada_GCA_019584315',11
'Canada_GCA_019586325',11
'Canada_GCA_019588685',11
'Canada_GCA_019588725',11
'Canada_GCA_019588745',11
'Canada_GCA_019588765',11
'Canada_GCA_019588825',11
'Canada_GCA_019588865',11
'Canada_GCA_019588985',11
'Canada_GCA_019589065',11
'Canada_GCA_019589105',11
'Canada_GCA_019589125',11
'Canada_GCA_019589245',11
'Canada_GCA_019593325',11
'Hong_Kong_Sal100_19_contigs',11
'Hong_Kong_Sal10_19_contigs',11
'Hong_Kong_Sal11_19_contigs',Unknown
'Hong_Kong_Sal13_19_contigs',11
'Hong_Kong_Sal14_19_contigs',11
'Hong_Kong_Sal18_19_contigs',11
'Hong_Kong_Sal19_19_contigs',11
'Hong_Kong_Sal20_19_contigs',11
'Hong_Kong_Sal25_19_contigs',11
'Hong_Kong_Sal26_19_contigs',11
'Hong_Kong_Sal27_19_contigs',11
'Hong_Kong_Sal32_19_contigs',11
'Hong_Kong_Sal35_19_contigs',11
