#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Genome/Australia_GCA_010422805.fna	DAARJC010000002.1	291344	291781	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_010730655.fna	DAATEC010000001.1	291344	291781	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218415.fna	JABOHV010000037.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218545.fna	JABOKO010000028.1	450	866	+	fosA3_1	1-417/417	===============	0/0	100.00	91.37	resfinder	AB522970	fosA3	Fosfomycin
Genome/Australia_GCA_013218545.fna	JABOKO010000030.1	196	1056	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
Genome/Australia_GCA_013218545.fna	JABOKO010000051.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218545.fna	JABOKO010000053.1	26808	27609	+	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.88	resfinder	X02340	ant(3'')-Ia	Streptomycin
Genome/Australia_GCA_013218545.fna	JABOKO010000053.1	29291	30082	-	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	sul3	Sulfamethoxazole
Genome/Australia_GCA_013218615.fna	JABOHW010000049.1	170844	171281	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218615.fna	JABOHW010000055.1	27056	27916	-	blaTEM-106_1	1-861/861	===============	0/0	100.00	99.88	resfinder	AY101578	blaTEM-106	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
Genome/Australia_GCA_013218635.fna	JABOHR010000058.1	290758	291195	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218745.fna	JABOHK010000028.1	170791	171228	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218805.fna	JABOHJ010000066.1	129249	129686	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218845.fna	JABOHO010000031.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218875.fna	JABOHM010000024.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218905.fna	JABOHN010000056.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218965.fna	JABOHP010000051.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013218975.fna	JABOHQ010000015.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013219015.fna	JABOHX010000027.1	1604	2850	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
Genome/Australia_GCA_013219015.fna	JABOHX010000061.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013219655.fna	JABOKR010000008.1	3943	4803	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
Genome/Australia_GCA_013219655.fna	JABOKR010000009.1	701	1537	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
Genome/Australia_GCA_013219655.fna	JABOKR010000009.1	1537	2340	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
Genome/Australia_GCA_013219655.fna	JABOKR010000009.1	2401	3216	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
Genome/Australia_GCA_013219655.fna	JABOKR010000048.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220405.fna	JABOKF010000051.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220415.fna	JABOKE010000055.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220585.fna	JABOKG010000050.1	290835	291272	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220665.fna	JABOKK010000011.1	1000	2246	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
Genome/Australia_GCA_013220665.fna	JABOKK010000015.1	3943	4803	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
Genome/Australia_GCA_013220665.fna	JABOKK010000024.1	33	836	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
Genome/Australia_GCA_013220665.fna	JABOKK010000024.1	836	1672	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
Genome/Australia_GCA_013220665.fna	JABOKK010000038.1	16573	17388	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
Genome/Australia_GCA_013220665.fna	JABOKK010000054.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220685.fna	JABOKI010000056.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220695.fna	JABOKH010000052.1	290832	291269	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220705.fna	JABOKJ010000034.1	16573	17388	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
Genome/Australia_GCA_013220705.fna	JABOKJ010000043.1	3943	4803	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
Genome/Australia_GCA_013220705.fna	JABOKJ010000044.1	33	836	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
Genome/Australia_GCA_013220705.fna	JABOKJ010000044.1	836	1672	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
Genome/Australia_GCA_013220705.fna	JABOKJ010000048.1	1000	2246	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
Genome/Australia_GCA_013220705.fna	JABOKJ010000050.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220775.fna	JABOKS010000053.1	290741	291178	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220815.fna	JABOKM010000051.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220865.fna	JABOKU010000040.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220885.fna	JABOKT010000027.1	1604	2850	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
Genome/Australia_GCA_013220885.fna	JABOKT010000057.1	290845	291282	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013220895.fna	JABOKV010000007.1	181	897	-	aph(3'')-Ib_5	88-804/804	.==============	0/0	89.18	99.72	resfinder	AF321551	aph(3'')-Ib	Streptomycin
Genome/Australia_GCA_013220895.fna	JABOKV010000065.1	149	1009	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
Genome/Australia_GCA_013220895.fna	JABOKV010000082.1	290834	291271	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013221005.fna	JABOKX010000044.1	260	1034	+	aph(6)-Id_1	1-775/837	==============.	0/0	92.59	99.74	resfinder	M28829	aph(6)-Id	Streptomycin
Genome/Australia_GCA_013221005.fna	JABOKX010000051.1	290847	291284	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_013226665.fna	JABPSN010000024.1	290752	291189	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Australia_GCA_025770365.fna	JAOVTH010000001.1	407763	408200	-	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582215.fna	ABBXFP010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582215.fna	ABBXFP010000018.1	691	1128	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582255.fna	ABBXFT010000001.1	617950	618387	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582255.fna	ABBXFT010000022.1	2132	2569	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582275.fna	ABBXFQ010000004.1	20397	20834	-	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582275.fna	ABBXFQ010000093.1	599	1036	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582375.fna	ABBXFM010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
